CCSDS_OEM_VERS = 2.0
CREATION_DATE  = 2026-09-19T15:15:51.545
ORIGINATOR     = ORBINAUTS ENGINE ORACLE

META_START
OBJECT_NAME          = ISS
OBJECT_ID            = 1998-067-A
CENTER_NAME          = Earth
REF_FRAME            = EME2000
TIME_SYSTEM          = UTC
START_TIME           = 2026-09-19T12:00:00.000
USEABLE_START_TIME   = 2026-09-19T12:00:00.000
USEABLE_STOP_TIME    = 2026-09-21T13:00:00.000
STOP_TIME            = 2026-09-21T13:00:00.000
META_STOP

COMMENT Simulated data: every vector here was computed by oracle/ephemeris.py with Skyfield from published Elements and a made-up reboost.
COMMENT It follows the layout of NASA's ISS Ephemeris file but is not NASA's and describes no real trajectory.
COMMENT Units are in kg and m^2
COMMENT MASS=468853.80
COMMENT DRAG_AREA=1138.30
COMMENT DRAG_COEFF=1.80
COMMENT Begin sequence of events
COMMENT TRAJECTORY EVENT SUMMARY:
COMMENT 
COMMENT |       EVENT        |       TIG        | ORB |   DV    |   HA    |   HP    |
COMMENT |                    |       GMT        |     |   M/S   |   KM    |   KM    |
COMMENT =============================================================================
COMMENT  Simulated_Reboost    263:12:00:00.000             0.8     424.6     416.5
COMMENT =============================================================================
COMMENT End sequence of events
2026-09-19T12:00:00.000 -6193.300837455 -2480.480770192 1310.786307627 2.872059134662 -4.070471289327 5.817378228480
2026-09-19T12:04:00.000 -5287.262588344 -3355.365253277 2642.170147239 4.632257116603 -3.175710310354 5.209568944875
2026-09-19T12:08:00.000 -3996.812264125 -3986.294725110 3780.907694001 6.055852656511 -2.049956087484 4.221842744570
2026-09-19T12:12:00.000 -2415.771560129 -4327.398390187 4643.972102262 7.039060835974 -0.775256042701 2.926381155140
2026-09-19T12:16:00.000 -659.108496267 -4353.904560423 5168.464596621 7.510474294133 0.555716451824 1.417654972317
2026-09-19T12:20:00.000 1145.465492784 -4063.882492543 5316.140233124 7.435875957057 1.846439481252 -0.194619265840
2026-09-19T12:24:00.000 2866.732064482 -3478.344612063 5076.135568150 6.820396969972 3.003358138702 -1.793322569874
2026-09-19T12:28:00.000 4379.414280833 -2639.743615850 4465.765510380 5.708152978127 3.942403955193 -3.262121994053
2026-09-19T12:32:00.000 5573.243134611 -1608.965272846 3529.347262474 4.179426270808 4.594973863941 -4.493679625176
2026-09-19T12:36:00.000 6361.050231552 -460.979764868 2335.086637853 2.345349984064 4.913070353444 -5.397521741588
2026-09-19T12:40:00.000 6685.284214206 720.598157685 970.168129996 0.340100776783 4.873168856789 -5.907025818774
2026-09-19T12:44:00.000 6522.381107210 1849.673523285 -465.655351765 -1.689087405738 4.478300744126 -5.984802045853
2026-09-19T12:48:00.000 5884.549154895 2844.078141187 -1867.497471636 -3.593306859842 3.757942567521 -5.625743242383
2026-09-19T12:52:00.000 4818.769305030 3631.672798481 -3133.174601552 -5.233573621867 2.765602994212 -4.857278428484
2026-09-19T12:56:00.000 3403.117443385 4155.618417075 -4170.761186953 -6.491345000280 1.574393240367 -3.736822552361
2026-09-19T13:00:00.000 1740.800700036 4378.400360606 -4905.238845224 -7.276919858884 0.271186240378 -2.346881610978
2026-09-19T13:04:00.000 -47.509110122 4284.353909195 -5283.762524648 -7.535188463010 -1.049917228404 -0.788553761596
2026-09-19T13:08:00.000 -1832.397447841 3880.601646271 -5279.250718571 -7.248706723557 -2.294208330182 0.825827046577
2026-09-19T13:12:00.000 -3484.871326777 3196.431776007 -4892.163954005 -6.438358841841 -3.372701929381 2.380365280488
